class,no_of_matches_mean,dist_median_mean,dist_mean_mean,dist_std_mean,no_of_inliers_mean,homography_norm_mean,homography_det_mean,inliers_to_descriptors_ratio_mean,matches_ratio_mean,no_of_matches_variance,dist_median_variance,dist_mean_variance,dist_std_variance,no_of_inliers_variance,homography_norm_variance,homography_det_variance,inliers_to_descriptors_ratio_variance,matches_ratio_variance,no_of_matches_skewness,dist_median_skewness,dist_mean_skewness,dist_std_skewness,no_of_inliers_skewness,homography_norm_skewness,homography_det_skewness,inliers_to_descriptors_ratio_skewness,matches_ratio_skewness,no_of_matches_kurtosis,dist_median_kurtosis,dist_mean_kurtosis,dist_std_kurtosis,no_of_inliers_kurtosis,homography_norm_kurtosis,homography_det_kurtosis,inliers_to_descriptors_ratio_kurtosis,matches_ratio_kurtosis
false,8.730819672131148,203.90656042671966,201.47111895961044,46.51011996326373,1.1642622950819672,5713.111956755097,25435486.08765335,0.0022951142703087754,0.02906046212143354,240.6618573141424,574.2333540803415,413.72543797931786,89.41538002630209,4.566974283425358,1810434543.285885,3.426269645393009e+17,2.4524177351605103e-05,0.0003775422150470295,6.617662588415435,,,,1.7188777571346978,,,2.7055546928832546,1.192804697601952,68.44749113700466,,,,3.2975864983645753,,,8.912127465506307,3.839284826408952
identity,334.99791666666664,16.17593403051691,35.09010251129118,44.32220534796168,332.93958333333336,2056.0395587019984,0.9994544362057982,0.7717879686888952,0.778833695002615,318497.1419580724,35.76449247881145,89.00831115863286,102.77597287911284,315699.3011438764,1168484.3591135044,9.628023379166763e-05,0.004275127091049339,0.0030129988489086693,4.329486461327569,,,,4.339162066118947,,,-3.913368855997802,-0.9530841439515602,25.457363514984014,,,,25.577145023628372,,,40.07595083925252,2.1841361743661567
reproduction,42.303840361445786,143.47593545994243,148.51017295778487,46.43745832506282,34.84375,2245.084653969847,4586.014136361848,0.12629433314634525,0.16955795892170264,9921.81084776961,2103.501497969526,1636.7328751622836,64.85614166880919,9157.371810263661,6637711.85549208,32229298991.79691,0.028430526688293427,0.026368500706994088,10.487392215761437,,,,11.20509275516004,,,2.0422593578217634,1.902245108319622,169.64594748469068,,,,191.87420010851903,,,4.812843629699253,4.392439616216148
